category,brand,price,rating,capacity_people,capacity,cleaning_features,display_desc,features,image_path,product_url
سرخ کن بدون روغن,فیلیپس,23742800,4.2,12.0,,nan,نمایشگر دیجیتال,nan,D:/سرخ کن بدون روغن/image_58.jpg,https://www.digikala.com/product/dkp-7438020/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%DA%A9%D8%AF-9650/
سرخ کن بدون روغن,متفرقه,13990000,,8.0,8.0,قابلیت شست‌وشو,تمایز این سرخ کن بابقیه هواپزها درمیزان مصرف پایین تر روغن وکیفیت ساخت دستگاه وتوان بالای ان درپخت غذامی باشد,چرخش 360 درجه تفکیک قطعات سوسیس ساز سرخ‌کردن بدون روغن یخ‌زدایی گریل برنامه پذیری برنامه پخت بخارپز تابه نچسب دکمه‌های لمسی قابلیت تنظیم دما پخت ترکیبی تایمر,D:/سرخ کن بدون روغن/image_59.jpg,https://www.digikala.com/product/dkp-18437661/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%85%D8%AF%D9%84-2025/
سرخ کن بدون روغن,تفال,12800000,3.8,8.0,7.5,شست‌وشوی اقلام جانبی در ماشین ظرفشویی ظرف متحرک و قابل شست‌وشو,nan,تایمر قابلیت تنظیم دما برنامه پخت سرخ‌کردن بدون روغن,D:/سرخ کن بدون روغن/image_60.jpg,https://www.digikala.com/product/dkp-17089090/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%AA%D9%81%D8%A7%D9%84-%D9%85%D8%AF%D9%84-ey855/
سرخ کن بدون روغن,گوسونیک,5800000,4.5,6.0,,nan,nan,nan,D:/سرخ کن بدون روغن/image_61.jpg,https://www.digikala.com/product/dkp-17638630/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%DA%AF%D9%88%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-gaf-837/
سرخ کن بدون روغن,او ای او,3680000,3.6,,2.5,nan,nan,nan,D:/سرخ کن بدون روغن/image_62.jpg,https://www.digikala.com/product/dkp-11606784/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%A7%D9%88-%D8%A7%DB%8C-%D8%A7%D9%88-%D9%85%D8%AF%D9%84-silencare-k505w/
سرخ کن بدون روغن,همیلتون,9800000,4.2,,,nan,صفحه نمایش تمام لمسی,nan,D:/سرخ کن بدون روغن/image_63.jpg,https://www.digikala.com/product/dkp-10441099/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%87%D9%85%DB%8C%D9%84%D8%AA%D9%88%D9%86-%D9%85%D8%AF%D9%84-%D8%A2%D9%88%D9%86-%D8%AF%D8%A7%D8%B1-%DA%A9%D8%AF-hao-7725/
سرخ کن بدون روغن,فیلیپس,9170000,2.8,6.0,,nan,nan,nan,D:/سرخ کن بدون روغن/image_64.jpg,https://www.digikala.com/product/dkp-14744886/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hd927090/
سرخ کن بدون روغن,تفال,4900000,4.3,6.0,4.2,قابلیت نظافت آسان,مجهز به صفحه نمایش و تایمر دیجیتال,سرخ‌کردن بدون روغن گریل برنامه پخت تابه نچسب تایمر قابلیت تنظیم دما,D:/سرخ کن بدون روغن/image_65.jpg,https://www.digikala.com/product/dkp-9264317/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%AA%D9%81%D8%A7%D9%84-%D9%85%D8%AF%D9%84-ey2018/
سرخ کن بدون روغن,متفرقه,6400000,4.8,10.0,8.0,nan,دارای چندین برنامه پخت به صورت لمسی تنظیم تایمر ودمای اختصاصی برنامه پذیری سریع دکمه عملیات دکمه لمسی خاموش و روشن کردن ،دارای دکمه یخ زدایی گوشت و ماهی کبابی، مرغ و میگوی سوخاری، سیب زمینی سرخ شده، قارچ خوشمزه، کیک، پیتزا، پفیلا، بخارپز کردن سبزیجات و ...,چرخش 360 درجه سوسیس ساز سرخ‌کردن بدون روغن یخ‌زدایی گریل پخت ترکیبی برنامه پذیری برنامه پخت بخارپز تابه نچسب تایمر دکمه‌های لمسی,D:/سرخ کن بدون روغن/image_66.jpg,https://www.digikala.com/product/dkp-15550369/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%85%D8%AF%D9%84-powerfull-fryer/
سرخ کن بدون روغن,متفرقه,8748010,4.4,6.0,7.0,nan,با قابلیت نشان دادن دمای پخت,nan,D:/سرخ کن بدون روغن/image_67.jpg,https://www.digikala.com/product/dkp-11145224/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%B4%D8%A7%D8%B1%D9%BE-%DA%A9%D8%AF-kf-af70rt/
سرخ کن بدون روغن,نینجا,16978300,5.0,4.0,6.2,nan,nan,nan,D:/سرخ کن بدون روغن/image_68.jpg,https://www.digikala.com/product/dkp-17735969/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-62-%D9%84%DB%8C%D8%AA%D8%B1%DB%8C-%D9%86%DB%8C%D9%86%D8%AC%D8%A7-%D9%85%D8%AF%D9%84-af180eu/
سرخ کن بدون روغن,فیلیپس,8753820,4.9,4.0,4.2,شست‌وشوی اقلام جانبی در ماشین ظرفشویی قابلیت نظافت آسان,صفحه‌نمایش دیجیتال,گریل یخ‌زدایی سرخ‌کردن بدون روغن دکمه‌های لمسی تایمر,D:/سرخ کن بدون روغن/image_69.jpg,https://www.digikala.com/product/dkp-17539748/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-na322/
سرخ کن بدون روغن,فیلیپس,5100000,4.4,4.0,4.2,قابلیت شست‌وشو شست‌وشوی اقلام جانبی در ماشین ظرفشویی,ال ای دی,nan,D:/سرخ کن بدون روغن/image_70.jpg,https://www.digikala.com/product/dkp-13636171/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-9200/
سرخ کن بدون روغن,ولگا,4500000,4.3,6.0,6.0,nan,لمسی,بازشوندگی چرخش 360 درجه برنامه پخت تایمر دکمه‌های لمسی,D:/سرخ کن بدون روغن/image_71.jpg,https://www.digikala.com/product/dkp-13878998/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%88%D9%84%DA%AF%D8%A7-%D9%85%D8%AF%D9%84-z-83/
سرخ کن بدون روغن,سیلورکرست,3610000,4.8,8.0,10.0,قابلیت نظافت آسان,nan,سرخ‌کردن بدون روغن برنامه پخت برنامه پذیری قابلیت تنظیم دما,D:/سرخ کن بدون روغن/image_72.jpg,https://www.digikala.com/product/dkp-18098919/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%B3%DB%8C%D9%84%D9%88%D8%B1%DA%A9%D8%B1%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-10-%D9%84%DB%8C%D8%AA%D8%B1/
سرخ کن بدون روغن,مونتینی,6800000,4.3,,8.0,nan,لمسی,nan,D:/سرخ کن بدون روغن/image_73.jpg,https://www.digikala.com/product/dkp-12602037/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%85%D9%88%D9%86%D8%AA%DB%8C%D9%86%DB%8C-%D9%85%D8%AF%D9%84-zone-8/
سرخ کن بدون روغن,فیلیپس,5941820,3.1,3.0,4.1,nan,صفحه نمایش ندارد,nan,D:/سرخ کن بدون روغن/image_74.jpg,https://www.digikala.com/product/dkp-12502490/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-9200hd/
سرخ کن بدون روغن,فیلیپس,9880000,3.8,4.0,5.6,nan,لمسی,nan,D:/سرخ کن بدون روغن/image_75.jpg,https://www.digikala.com/product/dkp-12053310/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hd9257/
سرخ کن بدون روغن,تفال,11902800,4.1,4.0,6.5,nan,nan,nan,D:/سرخ کن بدون روغن/image_76.jpg,https://www.digikala.com/product/dkp-13816049/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%AA%D9%81%D8%A7%D9%84-%D9%85%D8%AF%D9%84-ey801/
سرخ کن بدون روغن,مباشی,8200000,3.9,12.0,11.0,شست‌وشوی اقلام جانبی در ماشین ظرفشویی قابلیت نظافت آسان,صفحه نمایش LED لمسی,چرخش 360 درجه سرخ‌کردن بدون روغن یخ‌زدایی گریل برنامه پخت تایمر دکمه‌های لمسی قابلیت تنظیم دما تابه نچسب,D:/سرخ کن بدون روغن/image_77.jpg,https://www.digikala.com/product/dkp-15409462/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%DB%8C-%D9%85%D8%AF%D9%84-me-af958/
سرخ کن بدون روغن,فیلیپس,19920300,4.0,4.0,,nan,صفحه نمایش لمسی,nan,D:/سرخ کن بدون روغن/image_78.jpg,https://www.digikala.com/product/dkp-7640848/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hd965091/
سرخ کن بدون روغن,سیلورکرست,2923860,4.4,6.0,6.0,nan,لمسی با نمایشگر LCD,چرخش 360 درجه,D:/سرخ کن بدون روغن/image_79.jpg,https://www.digikala.com/product/dkp-14791585/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%B3%DB%8C%D9%84%D9%88%D8%B1%DA%A9%D8%B1%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-s-18/
سرخ کن بدون روغن,سوناشی,9800000,4.0,,9.0,nan,تمام لمسی,nan,D:/سرخ کن بدون روغن/image_80.jpg,https://www.digikala.com/product/dkp-11116732/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%B3%D9%88%D9%86%D8%A7%D8%B4%DB%8C-%D9%85%D8%AF%D9%84-saf-900/
سرخ کن بدون روغن,فیلیپس,5690000,2.6,4.0,3.2,nan,nan,یخ‌زدایی سرخ‌کردن بدون روغن گریل برنامه پذیری برنامه پخت تایمر,D:/سرخ کن بدون روغن/image_81.jpg,https://www.digikala.com/product/dkp-16044742/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-na11000/
سرخ کن بدون روغن,سیلورکرست,2849000,3.8,6.0,6.0,قابلیت نظافت آسان,nan,تفکیک قطعات,D:/سرخ کن بدون روغن/image_82.jpg,https://www.digikala.com/product/dkp-13946865/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%B3%DB%8C%D9%84%D9%88%D8%B1%DA%A9%D8%B1%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-s18/
سرخ کن بدون روغن,دسینی,4400000,3.3,12.0,12.0,nan,nan,nan,D:/سرخ کن بدون روغن/image_83.jpg,https://www.digikala.com/product/dkp-3479774/%D9%87%D9%88%D8%A7%D9%BE%D8%B2-%D8%AF%D8%B3%DB%8C%D9%86%DB%8C-%D9%85%D8%AF%D9%84-%D8%AA%D9%88%D8%B1%D8%A8%D9%88/
سرخ کن بدون روغن,فیلیپس,18069170,2.2,7.0,7.2,شست‌وشوی اقلام جانبی در ماشین ظرفشویی شست‌وشو با دست,صفحه نمایش LED تماما لمسی (ضد آب و حرارت ),سرخ‌کردن بدون روغن یخ‌زدایی گریل برنامه پذیری برنامه پخت تابه نچسب تایمر دکمه‌های لمسی قابلیت تنظیم دما,D:/سرخ کن بدون روغن/image_84.jpg,https://www.digikala.com/product/dkp-17265623/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hd928596/
سرخ کن بدون روغن,دسینی,7500000,3.8,8.0,12.0,ظرف متحرک و قابل شست‌وشو,لمسی با 10 برنامه پخت,صفحات جداشونده,D:/سرخ کن بدون روغن/image_85.jpg,https://www.digikala.com/product/dkp-13971246/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%AF%D8%B3%DB%8C%D9%86%DB%8C-%D9%85%D8%AF%D9%84-5490/
سرخ کن بدون روغن,نینجا,15403070,4.1,20.0,,nan,صحفه نمایش ال ای دی,nan,D:/سرخ کن بدون روغن/image_86.jpg,https://www.digikala.com/product/dkp-9648808/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%86%DB%8C%D9%86%D8%AC%D8%A7-%D9%85%D8%AF%D9%84-af300/
سرخ کن بدون روغن,میگل,13900000,4.7,,8.5,nan,صفحه نمایش دیجیتال بزرگ لمسی,nan,D:/سرخ کن بدون روغن/image_87.jpg,https://www.digikala.com/product/dkp-13035856/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%85%DB%8C%DA%AF%D9%84-%D9%85%D8%AF%D9%84-gaf-204/
سرخ کن بدون روغن,سیلورکرست,6700000,5.0,12.0,,nan,nan,nan,D:/سرخ کن بدون روغن/image_88.jpg,https://www.digikala.com/product/dkp-17621941/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%B3%DB%8C%D9%84%D9%88%D8%B1%DA%A9%D8%B1%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-scs-6090/
سرخ کن بدون روغن,تفال,13800000,4.1,8.0,8.3,nan,nan,nan,D:/سرخ کن بدون روغن/image_89.jpg,https://www.digikala.com/product/dkp-14659197/%D9%87%D9%88%D8%A7%D9%BE%D8%B2-%D8%AA%D9%81%D8%A7%D9%84-%D9%85%D8%AF%D9%84-ey901840/
سرخ کن بدون روغن,میگل,9800000,4.2,,8.5,قابلیت شست‌وشو در ماشین ظرفشویی,صفحه کنترل لمسی دیجیتال رنگی,سرخ‌کردن بدون روغن,D:/سرخ کن بدون روغن/image_90.jpg,https://www.digikala.com/product/dkp-15577773/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%85%DB%8C%DA%AF%D9%84-%D9%85%D8%AF%D9%84-gaf-206/
سرخ کن بدون روغن,یونیک لایف,7400000,4.3,,10.0,قابلیت شست‌وشو,nan,nan,D:/سرخ کن بدون روغن/image_91.jpg,https://www.digikala.com/product/dkp-15480644/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%DB%8C%D9%88%D9%86%DB%8C%DA%A9-%D9%84%D8%A7%DB%8C%D9%81-%D9%85%D8%AF%D9%84-ul-12741/
سرخ کن بدون روغن,مباشی,8300000,4.2,8.0,9.0,nan,nan,سرخ‌کردن بدون روغن,D:/سرخ کن بدون روغن/image_92.jpg,https://www.digikala.com/product/dkp-14103786/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%DB%8C-%D9%85%D8%AF%D9%84-me-af986/
سرخ کن بدون روغن,نینجا,15586900,3.7,4.0,,nan,محدوده دما 40 درجه سانتیگراد تا 240 درجه سانتیگراد برنامه های پخت : Max Crisp  Air Fry  Air Roast  Bake  Reheat  Dehydrate ( کاملا ترد ، سرخ کن ، کباب کردن ، پختن (کیک و شیرینی و ...) ، گرم کردن مجدد و خشک کن میوه و سبزیجات ) فناوری منحصر به فرد DUAL ZONE ™ نینجا به شما امکان می دهد آشپزی خود را با برنامه Match or Sync همگام سازی کنید. دارای 2 سبد پخت مستقل 3.8 ی ، تا 1.8 کیلوگرم سیب زمینی سرخ شده یا بال مرغ را همزمان بپزید تمام اقلام عاری از BPA دارای پایه بدون لغزش قابلیت شستشو اجزاء در ماشین ظرفشویی,nan,D:/سرخ کن بدون روغن/image_93.jpg,https://www.digikala.com/product/dkp-10424672/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%86%DB%8C%D9%86%D8%AC%D8%A7-%D9%85%D8%AF%D9%84-af300/
سرخ کن بدون روغن,تفال,6490000,4.0,6.0,4.0,قابلیت نظافت آسان,دارای نمایشگر LCD و صفحه کنترل لمسی,سرخ‌کردن بدون روغن گریل برنامه پخت تایمر دکمه‌های لمسی قابلیت تنظیم دما,D:/سرخ کن بدون روغن/image_94.jpg,https://www.digikala.com/product/dkp-8699805/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%AA%D9%81%D8%A7%D9%84-%D9%85%D8%AF%D9%84-ey401d/
سرخ کن بدون روغن,شیائومی,7771000,4.8,5.0,,nan,nan,nan,D:/سرخ کن بدون روغن/image_95.jpg,https://www.digikala.com/product/dkp-16741019/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%B4%DB%8C%D8%A7%D8%A6%D9%88%D9%85%DB%8C-%D9%85%D8%AF%D9%84-maf14/
سرخ کن بدون روغن,متفرقه,7300000,4.4,,,nan,دارای صفحه نمایش لمسی,nan,D:/سرخ کن بدون روغن/image_96.jpg,https://www.digikala.com/product/dkp-8973954/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%85%D8%AF%D9%84-hd9252/
سرخ کن بدون روغن,فیلیپس,8500000,3.0,8.0,,nan,nan,nan,D:/سرخ کن بدون روغن/image_97.jpg,https://www.digikala.com/product/dkp-16029856/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-9257/
سرخ کن بدون روغن,شیائومی,9600000,4.3,7.0,5.5,قابلیت نظافت آسان,nan,برنامه پذیری برنامه پخت تابه نچسب پخت ترکیبی یخ‌زدایی سرخ‌کردن بدون روغن قابلیت تنظیم دما,D:/سرخ کن بدون روغن/image_98.jpg,https://www.digikala.com/product/dkp-16900189/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%B4%DB%8C%D8%A7%D8%A6%D9%88%D9%85%DB%8C-%D9%85%D8%AF%D9%84-maf15-global-version/
سرخ کن بدون روغن,یونیک لایف,7500000,3.2,10.0,10.0,ظرف متحرک و قابل شست‌وشو,لمسی دارای 10 برنامه پخت و پز,چرخش 360 درجه,D:/سرخ کن بدون روغن/image_99.jpg,https://www.digikala.com/product/dkp-14762530/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%DB%8C%D9%88%D9%86%DB%8C%DA%A9-%D9%84%D8%A7%DB%8C%D9%81-%D9%85%D8%AF%D9%84-ul-2441/
سرخ کن بدون روغن,مباشی,7800000,3.4,10.0,9.2,nan,صفحه نمایش لمسی,nan,D:/سرخ کن بدون روغن/image_100.jpg,https://www.digikala.com/product/dkp-12250219/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%DB%8C-%D9%85%D8%AF%D9%84-me-af987/
سرخ کن بدون روغن,فیلیپس,5497750,4.3,4.0,4.1,nan,امکان تنظیم دستگاه با دکمه‌ی چرخان,nan,D:/سرخ کن بدون روغن/image_101.jpg,https://www.digikala.com/product/dkp-10317850/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-9200/
سرخ کن بدون روغن,ولگا,4000000,4.1,6.0,7.2,قابلیت شست‌وشو شست‌وشوی اقلام جانبی در ماشین ظرفشویی ظرف متحرک و قابل شست‌وشو قابلیت نظافت آسان شست‌وشو با دست,انالوگ,چرخش 360 درجه سرخ‌کردن بدون روغن تابه نچسب,D:/سرخ کن بدون روغن/image_102.jpg,https://www.digikala.com/product/dkp-14734487/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%88%D9%84%DA%AF%D8%A7-%D9%85%D8%AF%D9%84-volga-103-b/
سرخ کن بدون روغن,فیلیپس,5974150,3.7,4.0,4.1,nan,nan,nan,D:/سرخ کن بدون روغن/image_103.jpg,https://www.digikala.com/product/dkp-14475429/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-41-%D9%84%DB%8C%D8%AA%D8%B1-%D9%84%DB%8C%D8%AA%D8%B1%DB%8C-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hd9200/
سرخ کن بدون روغن,مایدیا,7685000,4.2,,,nan,سرخ کردن، کباب کردن، برشته کردن، خشک کردن و گرمایش مجدد مواد غذایی,nan,D:/سرخ کن بدون روغن/image_104.jpg,https://www.digikala.com/product/dkp-9509231/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%85%D8%A7%DB%8C%D8%AF%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-mf-cn55d2/
سرخ کن بدون روغن,دسینی,3939000,4.2,,2.0,nan,nan,nan,D:/سرخ کن بدون روغن/image_105.jpg,https://www.digikala.com/product/dkp-4128818/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D8%AF%D8%B3%DB%8C%D9%86%DB%8C-%D9%85%D8%AF%D9%84-600/
سرخ کن بدون روغن,نینجا,18500000,4.0,,9.5,nan,صفحه نمایش بدون قابلیت لمس ( در اثر گرما آسیب نمیبیند ) نشان دادن دما و زمان باقی مانده دو سبد به صورت مجزا پنل کنترل مجزا برای هر کدام از سبد ها,nan,D:/سرخ کن بدون روغن/image_106.jpg,https://www.digikala.com/product/dkp-11956944/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%86%DB%8C%D9%86%D8%AC%D8%A7-%D9%85%D8%AF%D9%84-af400/
سرخ کن بدون روغن,فیلیپس,17000000,4.1,7.0,7.2,قابلیت شست‌وشو شست‌وشوی اقلام جانبی در ماشین ظرفشویی ظرف متحرک و قابل شست‌وشو قابلیت شست‌وشو در ماشین ظرفشویی قابلیت شست‌وشوی روکش قابلیت نظافت آسان شست‌وشو با دست,صفحه نمایش LED تماما لمسی (ضد آب و حرارت ),تفکیک قطعات قرارگیری عمودی صفحات جداشونده سرخ‌کردن بدون روغن یخ‌زدایی گریل پخت ترکیبی برنامه پذیری برنامه پخت بخارپز تابه نچسب تایمر دکمه‌های لمسی قابلیت تنظیم دما سیستم کنترل کف خودکار,D:/سرخ کن بدون روغن/image_107.jpg,https://www.digikala.com/product/dkp-16883604/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hd928593/
سرخ کن بدون روغن,متفرقه,8495000,,8.0,7.0,nan,nan,nan,D:/سرخ کن بدون روغن/image_108.jpg,https://www.digikala.com/product/dkp-13868116/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%88%D8%BA%D9%86-%D9%85%D8%AF%D9%84-dl-820-%D8%AF%D9%84%D9%85%D9%88%D9%86%D8%AA%DB%8C/
