category,brand,price,rating,bowl_material,bowl_capacity,accessories_count,bowl_type,blade_material,image_path,product_url
همزن,سوناشی,1951000,5.0,nan,nan,دو,nan,استیل,D:/همزن/image_88.jpg,https://www.digikala.com/product/dkp-15999767/%D9%87%D9%85%D8%B2%D9%86-%D8%B3%D9%88%D9%86%D8%A7%D8%B4%DB%8C-%D9%85%D8%AF%D9%84-smx-144/
همزن,المپیا,1950000,4.0,استیل,3,چهار,متحرک,استیل,D:/همزن/image_89.jpg,https://www.digikala.com/product/dkp-10391553/%D9%87%D9%85%D8%B2%D9%86-%D8%A7%D9%84%D9%85%D9%BE%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-oe-318/
همزن,سوئیس پلاس,2650000,,استیل,2.2,چهار,ثابت,nan,D:/همزن/image_90.jpg,https://www.digikala.com/product/dkp-11393173/%D9%87%D9%85%D8%B2%D9%86-%D8%B3%D9%88%D8%A6%DB%8C%D8%B3-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-smb-810s/
همزن,بلک اند دکر,3589000,3.5,پلاستیک,nan,دو,متحرک,nan,D:/همزن/image_91.jpg,https://www.digikala.com/product/dkp-4501009/%D9%87%D9%85%D8%B2%D9%86-%D8%A8%D9%84%DA%A9-%D8%A7%D9%86%D8%AF-%D8%AF%DA%A9%D8%B1-%D9%85%D8%AF%D9%84-m700/
همزن,برلین,9313970,5.0,استیل,7,سه,ثابت,استیل,D:/همزن/image_92.jpg,https://www.digikala.com/product/dkp-17860801/%D9%87%D9%85%D8%B2%D9%86-%D8%A8%D8%B1%D9%84%DB%8C%D9%86-%D9%85%D8%AF%D9%84-be-1500/
همزن,دسینی,1300000,,بدون کاسه,nan,nan,nan,استیل,D:/همزن/image_93.jpg,https://www.digikala.com/product/dkp-17759052/%D9%87%D9%85%D8%B2%D9%86-%D8%AF%D8%B3%DB%8C%D9%86%DB%8C-%D9%85%D8%AF%D9%84-ds278/
همزن,مولینکس,3300000,4.3,بدون کاسه,nan,دو,بدون کاسه,استیل,D:/همزن/image_94.jpg,https://www.digikala.com/product/dkp-6054718/%D9%87%D9%85%D8%B2%D9%86-%D9%85%D9%88%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-hm310/
همزن,ایفل,11800000,,nan,nan,nan,nan,استیل ضد زنگ,D:/همزن/image_95.jpg,https://www.digikala.com/product/dkp-16931360/%D9%87%D9%85%D8%B2%D9%86-%D8%A7%DB%8C%D9%81%D9%84-%D9%85%D8%AF%D9%84-el-3777sm/
همزن,مک استایلر,9400000,,nan,nan,nan,nan,nan,D:/همزن/image_96.jpg,https://www.digikala.com/product/dkp-16462316/%D9%87%D9%85%D8%B2%D9%86-%D9%85%DA%A9-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84%D8%B1-%D9%85%D8%AF%D9%84-mc-500/
همزن,باریتون,22900000,3.0,استیل,6.5,سه,ثابت,تمام استیل,D:/همزن/image_97.jpg,https://www.digikala.com/product/dkp-15247270/%D9%87%D9%85%D8%B2%D9%86-%D8%A8%D8%A7%D8%B1%DB%8C%D8%AA%D9%88%D9%86-%D9%85%D8%AF%D9%84-bsm-651800dx/
همزن,سونیفر,1139000,,nan,nan,چهار,nan,استیل ضد زنگ,D:/همزن/image_98.jpg,https://www.digikala.com/product/dkp-14442507/%D9%87%D9%85%D8%B2%D9%86-%D8%B3%D9%88%D9%86%DB%8C%D9%81%D8%B1-%D9%85%D8%AF%D9%84-sf-7021/
همزن,متفرقه,1650000,4.8,nan,nan,nan,nan,استیل ضدزنگ,D:/همزن/image_99.jpg,https://www.digikala.com/product/dkp-2149535/%D9%87%D9%85%D8%B2%D9%86-%DA%A9%D9%BE%D9%84%D8%B1-%D9%85%D8%AF%D9%84-khm-250/
همزن,سوئیس پلاس,4200000,4.5,استیل,3.5,دو,متحرک,استیل,D:/همزن/image_100.jpg,https://www.digikala.com/product/dkp-12173611/%D9%87%D9%85%D8%B2%D9%86-%D8%B3%D9%88%D8%A6%DB%8C%D8%B3-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-smb-830s/
همزن,مکسی,2100000,3.5,استیل,nan,دو,متحرک,استیل,D:/همزن/image_101.jpg,https://www.digikala.com/product/dkp-3963095/%D9%87%D9%85%D8%B2%D9%86-%D9%85%DA%A9%D8%B3%DB%8C-%D9%85%D8%AF%D9%84-903-cbs/
همزن,سوئیس پلاس,3700000,3.8,nan,nan,nan,nan,nan,D:/همزن/image_102.jpg,https://www.digikala.com/product/dkp-11933741/%D9%87%D9%85%D8%B2%D9%86-%D8%B3%D9%88%D8%A6%DB%8C%D8%B3-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-smb-820s/
همزن,ویداس,4500000,4.4,nan,4,nan,nan,nan,D:/همزن/image_103.jpg,https://www.digikala.com/product/dkp-490695/%D9%87%D9%85%D8%B2%D9%86-%D9%BE%D8%A7%DB%8C%D9%87-%D8%AF%D8%A7%D8%B1-%D9%88%DB%8C%D8%AF%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-vir-3885/
همزن,متفرقه,3449000,4.3,بدون کاسه,nan,دو,بدون کاسه,استیل,D:/همزن/image_104.jpg,https://www.digikala.com/product/dkp-3821562/%D9%87%D9%85%D8%B2%D9%86-%D8%A8%D8%B1%DA%AF%D8%A7%D9%85%D9%88-%D9%85%D8%AF%D9%84-3610/
همزن,کاراجا,38710200,,فلز,5 ی,یک,متحرک,استیل,D:/همزن/image_105.jpg,https://www.digikala.com/product/dkp-12901983/%D9%87%D9%85%D8%B2%D9%86-%DA%A9%D8%A7%D8%B1%D8%A7%D8%AC%D8%A7-%D9%85%D8%AF%D9%84-15303062558/
همزن,پروفی کوک,22795000,3.9,nan,10,nan,nan,nan,D:/همزن/image_106.jpg,https://www.digikala.com/product/dkp-778986/%D9%87%D9%85%D8%B2%D9%86-%D9%BE%D8%B1%D9%88%D9%81%DB%8C-%DA%A9%D9%88%DA%A9-%D9%85%D8%AF%D9%84-km1096/
همزن,متفرقه,725000,2.5,بدون کاسه,nan,دو,بدون کاسه,استیل,D:/همزن/image_107.jpg,https://www.digikala.com/product/dkp-18317997/%D9%87%D9%85%D8%B2%D9%86-%DB%8C%D9%88%D9%86%DB%8C%DA%A9-%D8%B1%D8%A7%DA%A9-%D9%85%D8%AF%D9%84-u-133/
همزن,پلاتینیوم,600000,4.0,بدون کاسه,nan,nan,nan,استیل ضد زنگ,D:/همزن/image_108.jpg,https://www.digikala.com/product/dkp-17161508/%D9%87%D9%85%D8%B2%D9%86-%D9%BE%D9%84%D8%A7%D8%AA%DB%8C%D9%86%DB%8C%D9%88%D9%85-%D9%85%D8%AF%D9%84-ees133p/
همزن,یورولوکس,2799000,4.2,بدون کاسه,nan,دو,بدون کاسه,استیل,D:/همزن/image_109.jpg,https://www.digikala.com/product/dkp-1721237/%D9%87%D9%85%D8%B2%D9%86-%DB%8C%D9%88%D8%B1%D9%88%D9%84%D9%88%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-3833/
همزن,فلر,2259000,3.9,nan,nan,nan,nan,استیل,D:/همزن/image_110.jpg,https://www.digikala.com/product/dkp-287391/%D9%87%D9%85%D8%B2%D9%86-%D9%81%D9%84%D8%B1-%D9%85%D8%AF%D9%84-hm401/
همزن,وگاترونیکس,1200000,3.0,nan,nan,دو,nan,استیل ضد زنگ,D:/همزن/image_111.jpg,https://www.digikala.com/product/dkp-14108441/%D9%87%D9%85%D8%B2%D9%86-%D9%88%DA%AF%D8%A7%D8%AA%D8%B1%D9%88%D9%86%DB%8C%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-ve-222/
همزن,ناسا الکتریک,4150000,5.0,استیل,3,دو,متحرک,آلومینیوم با روکش کروم ضد زنگ,D:/همزن/image_112.jpg,https://www.digikala.com/product/dkp-16734748/%D9%87%D9%85%D8%B2%D9%86-%D9%86%D8%A7%D8%B3%D8%A7-%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-ns-932/
همزن,تولیپس,4150000,,استیل,nan,nan,nan,استیل,D:/همزن/image_113.jpg,https://www.digikala.com/product/dkp-18407306/%D9%87%D9%85%D8%B2%D9%86-%D8%AA%D9%88%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-mx-a-434/
همزن,نورنبرگ,5850000,,استیل,3.5,دو,متحرک,استیل,D:/همزن/image_114.jpg,https://www.digikala.com/product/dkp-17340079/%D9%87%D9%85%D8%B2%D9%86-%D9%86%D9%88%D8%B1%D9%86%D8%A8%D8%B1%DA%AF-%D9%85%D8%AF%D9%84-%DA%A9%D8%A7%D8%B3%D9%87%D8%AF%D8%A7%D8%B1-%DA%86%D9%86%D8%AF%DA%A9%D8%A7%D8%B1%D9%87-%DA%A9%D8%AF-550/
همزن,نیولند,2960000,5.0,استیل,4,دو,متحرک,استنلس استیل,D:/همزن/image_115.jpg,https://www.digikala.com/product/dkp-2913962/%D9%87%D9%85%D8%B2%D9%86-%D9%86%DB%8C%D9%88%D9%84%D9%86%D8%AF-%D9%85%D8%AF%D9%84-nl-2378/
همزن,متفرقه,1350000,4.1,nan,nan,چهار,nan,nan,D:/همزن/image_116.jpg,https://www.digikala.com/product/dkp-10475774/%D9%87%D9%85%D8%B2%D9%86-%D8%B3%D8%A7%D9%86%D9%81%D9%88%D8%B1%D8%AF-%D9%85%D8%AF%D9%84-sf1336hm/
همزن,دبلیو ام اف,12500000,4.4,بدون کاسه,nan,دو,بدون کاسه,nan,D:/همزن/image_117.jpg,https://www.digikala.com/product/dkp-4493733/%D9%87%D9%85%D8%B2%D9%86-%D8%AF%D8%A8%D9%84%DB%8C%D9%88-%D8%A7%D9%85-%D8%A7%D9%81-%D9%85%D8%AF%D9%84-kult-x/
همزن,ناسا الکتریک,3473180,,nan,nan,nan,nan,آلومینیوم با روکش کروم ضد زنگ,D:/همزن/image_118.jpg,https://www.digikala.com/product/dkp-16950714/%D9%87%D9%85%D8%B2%D9%86-%D9%86%D8%A7%D8%B3%D8%A7-%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-ns-919/
همزن,نیکووا,1100000,,nan,nan,nan,nan,استیل ضد زنگ,D:/همزن/image_119.jpg,https://www.digikala.com/product/dkp-16231946/%D9%87%D9%85%D8%B2%D9%86-%D9%86%DB%8C%DA%A9%D9%88%D9%88%D8%A7-%D9%85%D8%AF%D9%84-nhm-68/
همزن,متفرقه,6000000,4.0,nan,2,nan,nan,استیل,D:/همزن/image_120.jpg,https://www.digikala.com/product/dkp-282860/%D9%87%D9%85%D8%B2%D9%86-%D8%AF%D9%88-%DA%A9%D8%A7%D8%B3%D9%87-%D8%A8%D8%A7%DB%8C%D8%AA%D8%B1%D9%88%D9%86-%D9%85%D8%AF%D9%84-bhk-8kshs/
همزن,متفرقه,600000,3.4,بدون کاسه,nan,دو,بدون کاسه,استیل,D:/همزن/image_121.jpg,https://www.digikala.com/product/dkp-17947910/%D9%87%D9%85%D8%B2%D9%86-%D9%85%D8%AF%D9%84-260w/
همزن,unknown,9025000,,استیل,5,سه,ثابت,استیل,D:/همزن/image_122.jpg,https://www.digikala.com/product/dkp-17860835/%D9%87%D9%85%D8%B2%D9%86-%D8%A8%D9%84%DA%A9-%D9%BE%D8%B1%D9%88-%DA%A9%D9%88%DA%A9%D8%B1-%D9%85%D8%AF%D9%84-bcs-m809/
همزن,متفرقه,3980000,3.0,استیل,3.5,دو,متحرک,استیل ضدزنگ,D:/همزن/image_123.jpg,https://www.digikala.com/product/dkp-3643255/%D9%87%D9%85%D8%B2%D9%86-%D8%AF%D9%88%D9%86%D8%A7%D9%84%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-dn-350/
همزن,گرند,8450000,,استیل,4,دو,متحرک,فلز و پلاستیک,D:/همزن/image_124.jpg,https://www.digikala.com/product/dkp-2771351/%D9%87%D9%85%D8%B2%D9%86-%DA%AF%D8%B1%D9%86%D8%AF-%D9%85%D8%AF%D9%84-gr-910s/
همزن,جی پاس,1799000,4.7,nan,nan,nan,nan,استیل,D:/همزن/image_125.jpg,https://www.digikala.com/product/dkp-1867709/%D9%87%D9%85%D8%B2%D9%86-%D8%AC%DB%8C-%D9%BE%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-ghm43022/
همزن,رومانتیک هوم,1748010,,استیل,2,دو,متحرک,استیل,D:/همزن/image_126.jpg,https://www.digikala.com/product/dkp-13926536/%D9%87%D9%85%D8%B2%D9%86-%D8%B1%D9%88%D9%85%D8%A7%D9%86%D8%AA%DB%8C%DA%A9-%D9%87%D9%88%D9%85-%D9%85%D8%AF%D9%84-selva8/
همزن,فوما,8700000,,nan,nan,nan,nan,nan,D:/همزن/image_127.jpg,https://www.digikala.com/product/dkp-16216007/%D9%87%D9%85%D8%B2%D9%86-%D9%81%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-fu-2030/
همزن,ترام هاوس,10700000,,استیل,5,چهار,متحرک,استیل,D:/همزن/image_128.jpg,https://www.digikala.com/product/dkp-17993793/%D9%87%D9%85%D8%B2%D9%86-%D8%AA%D8%B1%D8%A7%D9%85-%D9%87%D8%A7%D9%88%D8%B3-%D9%85%D8%AF%D9%84-hb-4906/
همزن,متفرقه,1900000,,بدون کاسه,nan,nan,nan,استیل,D:/همزن/image_129.jpg,https://www.digikala.com/product/dkp-18479055/%D9%87%D9%85%D8%B2%D9%86-%D9%85%DB%8C%D9%84%D9%88%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-mhm-250/
همزن,گرند,8600000,,استیل,4.5,سه,ثابت,فلز,D:/همزن/image_130.jpg,https://www.digikala.com/product/dkp-3257360/%D9%87%D9%85%D8%B2%D9%86-%DA%AF%D8%B1%D9%86%D8%AF-%D9%85%D8%AF%D9%84-gr-9515b/
